Adresse,Nom,Type,Commentaire,Adresse_ABS,Fonction,Categorie
0.0,_00_P_actual_R,REAL,Puissance en kW Groupe électrogène diesel,%DB102.DBD0,Groupe électrogène diesel,Télémesure
4.0,_00_Temp_salle_masch_R,REAL,Température de salle des mas chines Groupe électrogène diesel,%DB102.DBD4,Groupe électrogène diesel,Télémesure
8.0,_04_Setpoint_R,REAL,Valeur de consigne réduite pour pompe hydraulique Pompes et compresseurs,%DB102.DBD8,Pompes et compresseurs,Téléréglage
12.0,_04_MS2_Y_R,REAL,Générateur de rampe Pompes et compresseurs,%DB102.DBD12,Pompes et compresseurs,Télémesure
16.0,_04_MS3_Y_R,REAL,"Val. consigne pompe hydr ré duite, mode mise en équipem. : relever/poser flèche Pompes et compresseurs",%DB102.DBD16,Pompes et compresseurs,Téléréglage
20.0,_04_Setpoint_Y_R,REAL,Valeur de consigne pompe hyd raulique Pompes et compresseurs,%DB102.DBD20,Pompes et compresseurs,Téléréglage
24.0,_04_Press_main_pump_R,REAL,Pression de service de la pompe de travail Pompes et compresseurs,%DB102.DBD24,Pompes et compresseurs,Télémesure
28.0,_04_Press_auxliary_R,REAL,Pression de service de la pompe à huile de commande Pompes et compresseurs,%DB102.DBD28,Pompes et compresseurs,Télémesure
32.0,_04_Temp_hydr_R,REAL,Température du système hydra ulique Pompes et compresseurs,%DB102.DBD32,Pompes et compresseurs,Télémesure
36.0,_04_Res1,REAL,Pompes et compresseurs 1,%DB102.DBD36,Pompes et compresseurs,Télémesure
40.0,_04_Res2,REAL,Pompes et compresseurs 2,%DB102.DBD40,Pompes et compresseurs,Télémesure
44.0,_07_Fuel_level_cent_R,REAL,Réservoir de carburant diese l: niveau de remplissage en % Groupe électrogène diesel,%DB102.DBD44,Groupe électrogène diesel,Télémesure
48.0,_07_Res1,REAL,Groupe électrogène diesel 1,%DB102.DBD48,Groupe électrogène diesel,Télémesure
52.0,_07_Res2,REAL,Groupe électrogène diesel 2,%DB102.DBD52,Groupe électrogène diesel,Télémesure
56.0,_07_Res3,REAL,Groupe électrogène diesel 3,%DB102.DBD56,Groupe électrogène diesel,Télémesure
60.0,_11_H_height_limit_POS_R,REAL,Hauteur de levage admissible pour le levage calculée Méc. levage 1 / Méc. retenue,%DB102.DBD60,Méc. levage 1 / Méc. retenue,Télémesure
64.0,_11_H_height_limit_NEG_R,REAL,Hauteur de levage admissible calculée pour la descente Méc. levage 1 / Méc. retenue,%DB102.DBD64,Méc. levage 1 / Méc. retenue,Télémesure
68.0,_11_H_height_perm_cent_R,REAL,Hauteur de levage admissible en pourcentage Méc. levage 1 / Méc. retenue,%DB102.DBD68,Méc. levage 1 / Méc. retenue,Télémesure
72.0,_11_H_limit_POS_1_R,REAL,Montée: présélection hauteur de levage point final 1 Méc. levage 1 / Méc. retenue 1,%DB102.DBD72,Méc. levage 1 / Méc. retenue,Télémesure
76.0,_11_H_limit_NEG_1_R,REAL,Descente: sélection hauteur de levage point cible 1 Méc. levage 1 / Méc. retenue 1,%DB102.DBD76,Méc. levage 1 / Méc. retenue,Télémesure
80.0,_11_H_limit_POS_2_R,REAL,Montée: présélection hauteur de levage point final 2 Méc. levage 1 / Méc. retenue 2,%DB102.DBD80,Méc. levage 1 / Méc. retenue,Télémesure
84.0,_11_H_limit_NEG_2_R,REAL,Descente: sélection hauteur de levage point cible 2 Méc. levage 1 / Méc. retenue 2,%DB102.DBD84,Méc. levage 1 / Méc. retenue,Télémesure
88.0,_11_H_target_POS_cent_R,REAL,Montée: point cible actif en % (interrupt. fin course pr ogrammé manuellement) Méc. levage 1 / Méc. retenue,%DB102.DBD88,Méc. levage 1 / Méc. retenue,Télémesure
92.0,_11_H_target_NEG_cent_R,REAL,Descente: Point cible actif en pourcentage Méc. levage 1 / Méc. retenue,%DB102.DBD92,Méc. levage 1 / Méc. retenue,Télémesure
96.0,_11_MS1_X_R,REAL,Ordre: lire et adapter valeu r de consigne Méc. levage 1 / Méc. retenue 1,%DB102.DBD96,Méc. levage 1 / Méc. retenue,Téléréglage
100.0,_11_MS1_Y_R,REAL,Ordre: lire et adapter valeu r de consigne Méc. levage 1 / Méc. retenue 2,%DB102.DBD100,Méc. levage 1 / Méc. retenue,Téléréglage
104.0,_11_MS2_Y_R,REAL,Réduire valeur de consigne v itesse pour réduction puissa nce Méc. levage 1 / Méc. retenue,%DB102.DBD104,Méc. levage 1 / Méc. retenue,Téléréglage
108.0,_11_MS3_Y_R,REAL,Calculer valeur consigne vitesse rotation du méc. levage suivant la charge Méc. levage 1 / Méc. retenue,%DB102.DBD108,Méc. levage 1 / Méc. retenue,Téléréglage
112.0,_11_MS4_Y_R,REAL,Appliquer val. pré-fin de course et val. cons. commande par à-coups Méc. levage 1 / Méc. retenue,%DB102.DBD112,Méc. levage 1 / Méc. retenue,Télémesure
116.0,_11_MS5_Y_R,REAL,Impulsion changement de vitesse réducteur du méc. de levage Méc. levage 1 / Méc. retenue,%DB102.DBD116,Méc. levage 1 / Méc. retenue,Télémesure
120.0,_11_MS6_Y_R,REAL,Impulsion de démarrage Méc. levage 1 / Méc. retenue,%DB102.DBD120,Méc. levage 1 / Méc. retenue,Télémesure
124.0,_11_MS8_Y_R,REAL,Montée / descente jusqu’au point cible valeur de consign e réduite Méc. levage 1 / Méc. retenue,%DB102.DBD124,Méc. levage 1 / Méc. retenue,Télémesure
128.0,_11_N_setpoint_R,REAL,Transmission de consigne à l 'entraînement en % Méc. levage 1 / Méc. retenue,%DB102.DBD128,Méc. levage 1 / Méc. retenue,Téléréglage
132.0,_11_N_ramp_actual_R,REAL,Temps réelle de générateur de rampe % P DWON Méc. levage 1 / Méc. retenue,%DB102.DBD132,Méc. levage 1 / Méc. retenue,Télémesure
136.0,_11_Res2,REAL,Méc. levage 1 / Méc. retenue 1,%DB102.DBD136,Méc. levage 1 / Méc. retenue,Télémesure
140.0,_11_N_actual_R,REAL,Valeur réelle vitesse w C en t/m mwin w Méc. levage 1 / Méc. retenue,%DB102.DBD140,Méc. levage 1 / Méc. retenue,Télémesure
144.0,_11_I_actual_R,REAL,Valeur réelle du courant enA Méc. levage 1 / Méc. retenue,%DB102.DBD144,Méc. levage 1 / Méc. retenue,Télémesure
148.0,_11_P_actual_R,REAL,Valeur réelle de la puissanc e en kW Méc. levage 1 / Méc. retenue,%DB102.DBD148,Méc. levage 1 / Méc. retenue,Télémesure
152.0,_11_UN_actual_R,REAL,Valeur réelle de la tension secteur en V Méc. levage 1 / Méc. retenue,%DB102.DBD152,Méc. levage 1 / Méc. retenue,Télémesure
156.0,_11_fN_actual_R,REAL,Valeur réelle de la fréquenc e secteur en Hz Méc. levage 1 / Méc. retenue,%DB102.DBD156,Méc. levage 1 / Méc. retenue,Télémesure
160.0,_11_UA_actual_R,REAL,Valeur réelle de la tension d'induit en V Méc. levage 1 / Méc. retenue,%DB102.DBD160,Méc. levage 1 / Méc. retenue,Télémesure
164.0,_11_IF_actual_R,REAL,Valeur réelle du courant ind ucteur en A Méc. levage 1 / Méc. retenue,%DB102.DBD164,Méc. levage 1 / Méc. retenue,Télémesure
168.0,_11_H_perm_R,REAL,Hauteur de levage admissible en m Méc. levage 1 / Méc. retenue,%DB102.DBD168,Méc. levage 1 / Méc. retenue,Télémesure
172.0,_11_H_height_actual_R,REAL,Valeur réelle de la hauteur de levage en m Méc. levage 1 / Méc. retenue,%DB102.DBD172,Méc. levage 1 / Méc. retenue,Télémesure
176.0,_11_Press_brake_R,REAL,Pression de service pour le frein du méc. de levage Méc. levage 1 / Méc. retenue,%DB102.DBD176,Méc. levage 1 / Méc. retenue,Télémesure
180.0,_11_Grab_force,REAL,Force de traction benne pour mécanisme de fermeture Méc. levage 1 / Méc. retenue,%DB102.DBD180,Méc. levage 1 / Méc. retenue,Télémesure
184.0,_11_Statusword_1_W.X00_Ready_to_switch_on,BOOL,"1=prêt à l'enclenchement, 0= pas prêt à l'enclenchement Méc. levage 1 / Méc. retenue",%DB102.DBX184.0,Méc. levage 1 / Méc. retenue,Télésignal
184.1,_11_Statusword_1_W.X01_Ready_to_operate,BOOL,"1=prêt au fonctionnement (im pulsions bloquées), 0=pas prêt au fonctionnement Méc. levage 1 / Méc. retenue",%DB102.DBX184.1,Méc. levage 1 / Méc. retenue,Télésignal
184.2,_11_Statusword_1_W.X02_Run,BOOL,"1=fonctionnement (borne de s ortie sous tension), 0= impu lsions bloquées Méc. levage 1 / Méc. retenue",%DB102.DBX184.2,Méc. levage 1 / Méc. retenue,Télésignal
184.3,_11_Statusword_1_W.X03_Fault_is_active,BOOL,"1=anomalie active (impulsion s bloquées), 0=pas d'anomali e active Méc. levage 1 / Méc. retenue",%DB102.DBX184.3,Méc. levage 1 / Méc. retenue,Télécommunication
184.4,_11_Statusword_1_W.X04_No_OFF_2_applied,BOOL,"1=pas d’ARRET 2, 0=ARRET 2 a ctivé Méc. levage 1 / Méc. retenue 1",%DB102.DBX184.4,Méc. levage 1 / Méc. retenue,Télécommunication
184.5,_11_Statusword_1_W.X05_No_OFF_3_applied,BOOL,"1=pas d’ARRET 3, 0=ARRET 3 a ctivé Méc. levage 1 / Méc. retenue 2",%DB102.DBX184.5,Méc. levage 1 / Méc. retenue,Télécommunication
184.6,_11_Statusword_1_W.X06_Switch_on_inhibit,BOOL,"1= blocage d'enclenchement, 0=pas de blocage d'enclench. (enclench. possible) Méc. levage 1 / Méc. retenue",%DB102.DBX184.6,Méc. levage 1 / Méc. retenue,Télésignal
184.7,_11_Statusword_1_W.X07_Alarm_is_active,BOOL,"1=avertissement actif, 0=pas d'avertissement activé Méc. levage 1 / Méc. retenue",%DB102.DBX184.7,Méc. levage 1 / Méc. retenue,Téléalarme
185.0,_11_Statusword_1_W.X08_Setpoint_EQ_actual,BOOL,"1=pas d'écart consigne-mesur e détecté, 0= écart consigne -mesure Méc. levage 1 / Méc. retenue",%DB102.DBX185.0,Méc. levage 1 / Méc. retenue,Téléréglage
185.1,_11_Statusword_1_W.X09_PZD_control_request,BOOL,1=guidage données process PZD demandé (toujours 1) Méc. levage 1 / Méc. retenue,%DB102.DBX185.1,Méc. levage 1 / Méc. retenue,Télésignal
185.2,_11_Statusword_1_W.X10_Actual_GE_Setpoint,BOOL,"1=val. réelle>=consigne comp araison (P373),0=val. réelle <cons. compar. (P373) Méc. levage 1 / Méc. retenue",%DB102.DBX185.2,Méc. levage 1 / Méc. retenue,Téléréglage
185.3,_11_Statusword_1_W.X11_Undervoltage_fault,BOOL,"1=anomalie sous-tension, 0=p as d'anomalie sous-tension Méc. levage 1 / Méc. retenue",%DB102.DBX185.3,Méc. levage 1 / Méc. retenue,Téléalarme
185.4,_11_Statusword_1_W.X12_Requ_main_contact_on,BOOL,"1=demande: contacteur ppal M ARCHE, 0=demande: contacteur ppal ARRET Méc. levage 1 / Méc. retenue",%DB102.DBX185.4,Méc. levage 1 / Méc. retenue,Télécommunication
185.5,_11_Statusword_1_W.X13_Ramp_funct_generator,BOOL,"1=générateur de rampe actif, 0=générateur de rampe non actif Méc. levage 1 / Méc. retenue",%DB102.DBX185.5,Méc. levage 1 / Méc. retenue,Télésignal
185.6,_11_Statusword_1_W.X14_Posit_speed_setpoint,BOOL,"Valeur de consigne pour vite sse: 1=positive, 0=négative Méc. levage 1 / Méc. retenue",%DB102.DBX185.6,Méc. levage 1 / Méc. retenue,Téléréglage
185.7,_11_Statusword_1_W.X15,BOOL,Réserve Méc. levage 1 / Méc. retenue 1,%DB102.DBX185.7,Méc. levage 1 / Méc. retenue,Télésignal
186.0,_11_Statusword_2_W.X16_Speedometre_trace_1,BOOL,Défaut générateur de vitesse piste 1 Méc. levage 1 / Méc. retenue,%DB102.DBX186.0,Méc. levage 1 / Méc. retenue,Téléalarme
186.1,_11_Statusword_2_W.X17_Transmission_superv,BOOL,Défaut surveillance transmis sion Méc. levage 1 / Méc. retenue,%DB102.DBX186.1,Méc. levage 1 / Méc. retenue,Téléalarme
186.2,_11_Statusword_2_W.X18_No_overspeed,BOOL,"1=pas de survitesse, 0=survi tesse (A038 et F038) Méc. levage 1 / Méc. retenue",%DB102.DBX186.2,Méc. levage 1 / Méc. retenue,Télésignal
186.3,_11_Statusword_2_W.X19,BOOL,Réserve Méc. levage 1 / Méc. retenue 2,%DB102.DBX186.3,Méc. levage 1 / Méc. retenue,Télésignal
186.4,_11_Statusword_2_W.X20,BOOL,Réserve Méc. levage 1 / Méc. retenue 3,%DB102.DBX186.4,Méc. levage 1 / Méc. retenue,Télésignal
186.5,_11_Statusword_2_W.X21_Ext_alarm_active,BOOL,"1=alarme externe active (A02 1 ou A022), 0=pas d'alarme e xterne active Méc. levage 1 / Méc. retenue",%DB102.DBX186.5,Méc. levage 1 / Méc. retenue,Téléalarme
186.6,_11_Statusword_2_W.X22_Power_overload_alarm,BOOL,"1=avertiss.surcharge partie puiss. active (A039), 0=pas d'avertiss.surcharge Méc. levage 1 / Méc. retenue",%DB102.DBX186.6,Méc. levage 1 / Méc. retenue,Téléalarme
186.7,_11_Statusword_2_W.X23_Power_overtemp_fault,BOOL,"1=anomalie surchauffe unité puissance active (F067),0=pa s d'anomalie surchauffe Méc. levage 1 / Méc. retenue",%DB102.DBX186.7,Méc. levage 1 / Méc. retenue,Téléalarme
187.0,_11_Statusword_2_W.X24_Power_overtemp_alarm,BOOL,"1=avertiss.surchauffe partie puiss. active (A067), 0=pas d'avertiss.surchauffe Méc. levage 1 / Méc. retenue",%DB102.DBX187.0,Méc. levage 1 / Méc. retenue,Téléalarme
187.1,_11_Statusword_2_W.X25_Motor_overtemp_alarm,BOOL,"1=avertiss. surchauffe moteu r active (A029), 0=pas d'ave rtiss. surchauffe Méc. levage 1 / Méc. retenue",%DB102.DBX187.1,Méc. levage 1 / Méc. retenue,Téléalarme
187.2,_11_Statusword_2_W.X26_Motor_overtemp_fault,BOOL,"1=anomalie surchauffe moteur actif (F029), 0=pas d'anoma lie surchauffe Méc. levage 1 / Méc. retenue",%DB102.DBX187.2,Méc. levage 1 / Méc. retenue,Téléalarme
187.3,_11_Statusword_2_W.X27,BOOL,Réserve Méc. levage 1 / Méc. retenue 4,%DB102.DBX187.3,Méc. levage 1 / Méc. retenue,Télésignal
187.4,_11_Statusword_2_W.X28_11_limit_hoist,BOOL,Surcourse de levage de la charge P DWON Méc. levage 1 / Méc. retenue,%DB102.DBX187.4,Méc. levage 1 / Méc. retenue,Télésignal
187.5,_11_Statusword_2_W.X29_11_limit_low,BOOL,Surcourse de descente de la charge w C mw Méc. levage 1 / Méc. retenue,%DB102.DBX187.5,Méc. levage 1 / Méc. retenue,Télésignal
187.6,_11_Statusword_2_W.X30_31_limit_in,BOOL,Surcourse de relevage w de la flèche Méc. levage 1 / Méc. retenue,%DB102.DBX187.6,Méc. levage 1 / Méc. retenue,Télésignal
187.7,_11_Statusword_2_W.X31_31_limit_out,BOOL,Surcourse abaissement de la flèche Méc. levage 1 / Méc. retenue,%DB102.DBX187.7,Méc. levage 1 / Méc. retenue,Télésignal
188.0,_11_Controlword_1_W.X00_On_1_active,BOOL,"1=marche,condition fonct, 0= ARRET1,arrêt par gén.impuls, puis blocage impuls. Méc. levage 1 / Méc. retenue",%DB102.DBX188.0,Méc. levage 1 / Méc. retenue,Télécommunication
188.1,_11_Controlword_1_W.X01_On_2_active,BOOL,"1=condition de service, 0=AR RET2, blocage des impulsions Méc. levage 1 / Méc. retenue",%DB102.DBX188.1,Méc. levage 1 / Méc. retenue,Télécommunication
188.2,_11_Controlword_1_W.X02_On_3_active,BOOL,"1=condition de service, 0=AR RET3, arrêt rapide Méc. levage 1 / Méc. retenue",%DB102.DBX188.2,Méc. levage 1 / Méc. retenue,Télécommunication
188.3,_11_Controlword_1_W.X03_Enable_pulses,BOOL,"1=validation, libération des impulsions, 0=blocage des i mpulsions Méc. levage 1 / Méc. retenue",%DB102.DBX188.3,Méc. levage 1 / Méc. retenue,Télécommunication
188.4,_11_Controlword_1_W.X04_EN_ramp_generator,BOOL,"1=validation générateur de r ampe, 0=mise à zéro du génér ateur de rampe Méc. levage 1 / Méc. retenue",%DB102.DBX188.4,Méc. levage 1 / Méc. retenue,Télésignal
188.5,_11_Controlword_1_W.X05_Ramp_generator_start,BOOL,"1=démarrer générateur de ram pe, 0=geler générateur de rampe Méc. levage 1 / Méc. retenue",%DB102.DBX188.5,Méc. levage 1 / Méc. retenue,Télécommunication
188.6,_11_Controlword_1_W.X06_Enable_setpoint,BOOL,"1=validation valeur de consi gne, 0=blocage valeur de con signe Méc. levage 1 / Méc. retenue",%DB102.DBX188.6,Méc. levage 1 / Méc. retenue,Téléréglage
188.7,_11_Controlword_1_W.X07_Edge_acknowledge,BOOL,Acquittement front Méc. levage 1 / Méc. retenue,%DB102.DBX188.7,Méc. levage 1 / Méc. retenue,Télécommunication
189.0,_11_Controlword_1_W.X08_Inching_bit_0_on,BOOL,1=commande par à-coups bit 0 Méc. levage 1 / Méc. retenue 1,%DB102.DBX189.0,Méc. levage 1 / Méc. retenue,Télécommunication
189.1,_11_Controlword_1_W.X09_Inching_bit_1_on,BOOL,1=commande par à-coups bit 1 Méc. levage 1 / Méc. retenue 2,%DB102.DBX189.1,Méc. levage 1 / Méc. retenue,Télécommunication
189.2,_11_Controlword_1_W.X10_Control_request,BOOL,"1=guidage demandé, 0=pas de guidage demandé Méc. levage 1 / Méc. retenue",%DB102.DBX189.2,Méc. levage 1 / Méc. retenue,Télésignal
189.3,_11_Controlword_1_W.X11_SEL_claw_grab_op,BOOL,1=sélection benne polype Méc. levage 1 / Méc. retenue,%DB102.DBX189.3,Méc. levage 1 / Méc. retenue,Télésignal
189.4,_11_Controlword_1_W.X12_SEL_special_grab_op,BOOL,1=sélection benne spéciale Méc. levage 1 / Méc. retenue,%DB102.DBX189.4,Méc. levage 1 / Méc. retenue,Télésignal
189.5,_11_Controlword_1_W.X13_EN_hatch_scrap_out,BOOL,1=validation: gratter le fond de cale avec la benne Méc. levage 1 / Méc. retenue,%DB102.DBX189.5,Méc. levage 1 / Méc. retenue,Télésignal
189.6,_11_Controlword_1_W.X14_Incr_setp_lowering,BOOL,1=augmentation valeur de con signe pour abaissement Méc. levage 1 / Méc. retenue,%DB102.DBX189.6,Méc. levage 1 / Méc. retenue,Téléréglage
189.7,_11_Controlword_1_W.X15_No_external_fault,BOOL,"1=pas de défaut externe, 0=D éfaut externe 1 (F021) Méc. levage 1 / Méc. retenue",%DB102.DBX189.7,Méc. levage 1 / Méc. retenue,Téléalarme
190.0,_11_Controlword_2_W.X16,BOOL,Méc. levage 1 / Méc. retenue 2,%DB102.DBX190.0,Méc. levage 1 / Méc. retenue,Télésignal
190.1,_11_Controlword_2_W.X17,BOOL,Méc. levage 1 / Méc. retenue 3,%DB102.DBX190.1,Méc. levage 1 / Méc. retenue,Télésignal
190.2,_11_Controlword_2_W.X18,BOOL,Méc. levage 1 / Méc. retenue 4,%DB102.DBX190.2,Méc. levage 1 / Méc. retenue,Télésignal
190.3,_11_Controlword_2_W.X19,BOOL,Méc. levage 1 / Méc. retenue 5,%DB102.DBX190.3,Méc. levage 1 / Méc. retenue,Télésignal
