Adresse,Nom,Type,Commentaire,Adresse_ABS,Fonction,Categorie,Unité
0.0,EN_commissioning,BOOL,"Mémento mise en serv.: pour mise serv., sur 1; après mise serv., mettre sur 0 Sans fonction",%DB100.DBX0.0,Sans fonction,Télésignal,
0.1,EN_power_reduction,BOOL,Validation: réduction de la puissance Sans fonction,%DB100.DBX0.1,Sans fonction,Télésignal,
0.2,_00_EN_no_bus_chassis,BOOL,Validation du bus superstructure lorsqu’i l n’y a pas de châssis Groupe électrogène diesel,%DB100.DBX0.2,Groupe électrogène diesel,Télésignal,
2.0,_11_Cont_set_X1,REAL,Nœud d’interpolation valeur de consigne: valeur X Méc. levage 1 / Méc. retenue,%DB100.DBD2,Méc. levage 1 / Méc. retenue,Téléréglage,
6.0,_11_Cont_set_Y1,REAL,Nœud d’interpolation valeur de consigne: valeur Y Méc. levage 1 / Méc. retenue,%DB100.DBD6,Méc. levage 1 / Méc. retenue,Téléréglage,
10.0,_11_Gear_impuls,REAL,Impulsion transmise au réducteur en % Méc. levage 1 / Méc. retenue,%DB100.DBD10,Méc. levage 1 / Méc. retenue,Télémesure,%
14.0,_11_Gear_impuls_time,S5TIME,Temps de commutation impulsion transmise au réducteur Méc. levage 1 / Méc. retenue,,Méc. levage 1 / Méc. retenue,,s
16.0,_11_Start_puls_X_fast,REAL,Impulsion de démarrage: vitesse rapide en % Méc. levage 1 / Méc. retenue,%DB100.DBD16,Méc. levage 1 / Méc. retenue,Télémesure,%
20.0,_11_Start_puls_X_slow,REAL,Impulsion de démarrage: vitesse lent en % Méc. levage 1 / Méc. retenue,%DB100.DBD20,Méc. levage 1 / Méc. retenue,Télémesure,%
24.0,_11_Reduce_MUL1,REAL,Réduction valeur de consigne nombre de tours en % pour trois mouvements Méc. levage 1 / Méc. retenue,%DB100.DBD24,Méc. levage 1 / Méc. retenue,Téléréglage,%
28.0,_11_Reduce_MUL2,REAL,Réduction valeur de consigne pour le régime en % pour deux mouvements Méc. levage 1 / Méc. retenue,%DB100.DBD28,Méc. levage 1 / Méc. retenue,Téléréglage,%
32.0,_11_pre_limit_speed,REAL,Vitesse du pré-fin de course du mécanisme de levage Méc. levage 1 / Méc. retenue,%DB100.DBD32,Méc. levage 1 / Méc. retenue,Télémesure,m/s
36.0,_11_inch_POS,REAL,Consigne positive de marche par à-coups Méc. levage 1 / Méc. retenue,%DB100.DBD36,Méc. levage 1 / Méc. retenue,Téléréglage,
40.0,_11_inch_NEG,REAL,Consigne de marche par à-coups négative Méc. levage 1 / Méc. retenue,%DB100.DBD40,Méc. levage 1 / Méc. retenue,Téléréglage,
44.0,_11_EN_inc_set_fast_gear,BOOL,Validation augmentation val. de consigne descente pour vitesse rapide Méc. levage 1 / Méc. retenue,%DB100.DBX44.0,Méc. levage 1 / Méc. retenue,Téléréglage,
44.1,_11_EN_inc_set_slow_gear,BOOL,Validation augmentation valeur de consign e descente vitesse lente Méc. levage 1 / Méc. retenue,%DB100.DBX44.1,Méc. levage 1 / Méc. retenue,Télésignal,
44.2,_11_EN_hatch_scrap_out,BOOL,Validation: gratter la cale avec la benne Méc. levage 1 / Méc. retenue,%DB100.DBX44.2,Méc. levage 1 / Méc. retenue,Télésignal,
44.3,_11_Res1,BOOL,Méc. levage 1 / Méc. retenue 1,%DB100.DBX44.3,Méc. levage 1 / Méc. retenue,Télésignal,
